id,nombre,nombre_kanji,role,anime_id,imagen_url,fecha_extraccion
3735,Shiranui Genma,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/104664.jpg?s=c798fbee0f73d81fe48f11306ce056bc,23/4/2021
3889,Sarutobi Konohamaru,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/7/109419.jpg?s=818d5a433ba71a276feb67578ccf711a,2025-04-06 20:52:34
4223,Gamabunta,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/6/70846.jpg?s=6516b681e86fa72587edc431286fdcc2,2025-04-06 20:52:34
4643,Shizune,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/103794.jpg?s=34f7e533eadf02840c039b3bc4f40f06,2025-04-06 20:52:34
4694,Kankurou,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/7/68615.jpg?s=6f6d40205ea049c4a579e6a2d756daa0,2025-04-06 20:52:34
4773,Yuuhi Kurenai,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/103797.jpg?s=01189fc7f8a526c4fd60ecb124f7065f,2025-04-06 20:52:34
4775,Sarutobi Asuma,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/82538.jpg?s=5196f696350f23474767acdf6efc6b8f,2025-04-06 20:52:34
4799,Akamaru,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/6/58197.jpg?s=72fb82b5f99c06ba07d67f7e0c845aec,2025-04-06 20:52:34
5737,Isaribi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/62784.jpg?s=140636f2e1b1900b23b503bfc3a72627,2025-04-06 20:52:34
6598,Rokushou Aoi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/5/57902.jpg?s=7f98276b2da7d5d6bf43aa6eb5175a82,2025-04-06 20:52:34
7310,Matsuri,,SUPPORTING,9689633,https://cdn.myanimelist.net/images/characters/6/57963.jpg?s=c8baf4f131a55b3a668382efff780e04,2025-04-06 20:52:34
7407,Kurama,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/5/232183.jpg?s=4ab26e80928ae4a0a667ea3f21f72492,2025-04-06 20:52:34
7571,Sarutobi Hiruzen,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/2/68520.jpg?s=7d6e5e92c4a665933686d4ece2cbdbe1,2025-04-06 20:52:34
7608,Katsuyu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/11/103624.jpg?s=6eb7e5dd0cc10240d5bd21f031727df6,24/1/2020
7738,Gekkou Hayate,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/10/104665.jpg?s=07831eec08dd78aadb983fbd90a0aaf3,2025-04-06 20:52:34
8495,Jiroubou,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/15/103579.jpg?s=bca26508367efa8f841f1a1b2aa6a6ea,27/5/2022
8497,Kidoumaru,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/4/103588.jpg?s=7824034e576090bc3629b0a15199374e,2025-04-06 20:52:34
